x y z meta\\
0.00 1.75 1212.58 1212.58\\
0.02 1.75 1216.40 1216.40\\
0.03 1.75 1220.17 1220.17\\
0.05 1.75 1223.90 1223.90\\
0.06 1.75 1227.58 1227.58\\
0.08 1.75 1231.21 1231.21\\
0.10 1.75 1234.81 1234.81\\
0.11 1.75 1238.35 1238.35\\
0.13 1.75 1241.85 1241.85\\
0.14 1.75 1245.31 1245.31\\
0.16 1.75 1248.72 1248.72\\
0.18 1.75 1252.09 1252.09\\
0.19 1.75 1255.41 1255.41\\
0.21 1.75 1258.69 1258.69\\
0.22 1.75 1261.92 1261.92\\
0.24 1.75 1265.11 1265.11\\
0.26 1.75 1268.25 1268.25\\
0.27 1.75 1271.35 1271.35\\
0.29 1.75 1274.41 1274.41\\
0.30 1.75 1277.41 1277.41\\
0.32 1.75 1280.38 1280.38\\
0.34 1.75 1283.30 1283.30\\
0.35 1.75 1286.17 1286.17\\
0.37 1.75 1289.00 1289.00\\
0.38 1.75 1291.78 1291.78\\
0.40 1.75 1294.52 1294.52\\
0.42 1.75 1297.22 1297.22\\
0.43 1.75 1299.87 1299.87\\
0.45 1.75 1302.47 1302.47\\
0.46 1.75 1305.03 1305.03\\
0.48 1.75 1307.54 1307.54\\
0.50 1.75 1310.01 1310.01\\
0.51 1.75 1312.44 1312.44\\
0.53 1.75 1314.82 1314.82\\
0.54 1.75 1317.15 1317.15\\
0.56 1.75 1319.44 1319.44\\
0.58 1.75 1321.69 1321.69\\
0.59 1.75 1323.89 1323.89\\
0.61 1.75 1326.05 1326.05\\
0.62 1.75 1328.16 1328.16\\
0.64 1.75 1330.22 1330.22\\
0.66 1.75 1332.24 1332.24\\
0.67 1.75 1334.22 1334.22\\
0.69 1.75 1336.15 1336.15\\
0.70 1.75 1338.04 1338.04\\
0.72 1.75 1339.88 1339.88\\
0.74 1.75 1341.68 1341.68\\
0.75 1.75 1343.43 1343.43\\
0.77 1.75 1345.13 1345.13\\
0.78 1.75 1346.80 1346.80\\
0.80 1.75 1348.41 1348.41\\
0.82 1.75 1349.99 1349.99\\
0.83 1.75 1351.51 1351.51\\
0.85 1.75 1353.00 1353.00\\
0.86 1.75 1354.43 1354.43\\
0.88 1.75 1355.83 1355.83\\
0.90 1.75 1357.17 1357.17\\
0.91 1.75 1358.48 1358.48\\
0.93 1.75 1359.74 1359.74\\
0.94 1.75 1360.95 1360.95\\
0.96 1.75 1362.12 1362.12\\
0.98 1.75 1363.24 1363.24\\
0.99 1.75 1364.32 1364.32\\
1.01 1.75 1365.35 1365.35\\
1.02 1.75 1366.34 1366.34\\
